sector,product,scene,date,type,filename,full_path
Valparaiso,jilin,REQ_3134,20221118,mss,JL1KF01A_PMS02_20221118221930_200113258_101_0023_001_L3A_MSS_nir.tif,s3://easido-prod-dc-data-projects/saf/jilin/valparaiso/2022/REQ_3134/JL1KF01A_PMS02_20221118221930_200113258_101_0023_001_L3A_MSS_nir.tif
Valparaiso,jilin,REQ_3134,20221118,mss,JL1KF01A_PMS01_20221118221930_200113258_101_0022_001_L3A_MSS_red.tif,s3://easido-prod-dc-data-projects/saf/jilin/valparaiso/2022/REQ_3134/JL1KF01A_PMS01_20221118221930_200113258_101_0022_001_L3A_MSS_red.tif
Valparaiso,jilin,REQ_3134,20221118,mss,JL1KF01A_PMS02_20221118221930_200113258_101_0023_001_L3A_MSS_green.tif,s3://easido-prod-dc-data-projects/saf/jilin/valparaiso/2022/REQ_3134/JL1KF01A_PMS02_20221118221930_200113258_101_0023_001_L3A_MSS_green.tif
Valparaiso,jilin,REQ_3134,20221118,pan,JL1KF01A_PMS02_20221118221930_200113258_101_0023_001_L3A_PAN.tif,s3://easido-prod-dc-data-projects/saf/jilin/valparaiso/2022/REQ_3134/JL1KF01A_PMS02_20221118221930_200113258_101_0023_001_L3A_PAN.tif
Valparaiso,jilin,REQ_3134,20221118,pan,JL1KF01A_PMS01_20221118221930_200113258_101_0022_001_L3A_PAN.tif,s3://easido-prod-dc-data-projects/saf/jilin/valparaiso/2022/REQ_3134/JL1KF01A_PMS01_20221118221930_200113258_101_0022_001_L3A_PAN.tif
Valparaiso,jilin,REQ_3134,20221118,mss,JL1KF01A_PMS02_20221118221930_200113258_101_0023_001_L3A_MSS_red.tif,s3://easido-prod-dc-data-projects/saf/jilin/valparaiso/2022/REQ_3134/JL1KF01A_PMS02_20221118221930_200113258_101_0023_001_L3A_MSS_red.tif
Valparaiso,jilin,REQ_3134,20221118,mss,JL1KF01A_200113258_001_L5A_MSS_blue.tif,s3://easido-prod-dc-data-projects/saf/jilin/valparaiso/2022/REQ_3134/JL1KF01A_200113258_001_L5A_MSS_blue.tif
Valparaiso,jilin,REQ_3134,20221118,mss,JL1KF01A_PMS01_20221118221930_200113258_101_0022_001_L3A_MSS_green.tif,s3://easido-prod-dc-data-projects/saf/jilin/valparaiso/2022/REQ_3134/JL1KF01A_PMS01_20221118221930_200113258_101_0022_001_L3A_MSS_green.tif
Valparaiso,jilin,REQ_3134,20221118,mss,JL1KF01A_PMS02_20221118221930_200113258_101_0022_001_L3A_MSS_blue.tif,s3://easido-prod-dc-data-projects/saf/jilin/valparaiso/2022/REQ_3134/JL1KF01A_PMS02_20221118221930_200113258_101_0022_001_L3A_MSS_blue.tif
Valparaiso,jilin,REQ_3134,20221118,mss,JL1KF01A_PMS01_20221118221930_200113258_101_0023_001_L3A_MSS_blue.tif,s3://easido-prod-dc-data-projects/saf/jilin/valparaiso/2022/REQ_3134/JL1KF01A_PMS01_20221118221930_200113258_101_0023_001_L3A_MSS_blue.tif
